model,task,lang_a,lang_b,acc_a,acc_b,acc_diff,b_a_right_b_wrong,c_a_wrong_b_right,n_discordant,chi2,p_value,significant,direction,cohens_h
llama3.3-70b,code,en,es,1.0,0.93,0.07,7,0,7,5.1429,0.023342,True,English > Spanish,0.5355
llama3.3-70b,code,es,tr,0.93,1.0,-0.07,0,7,7,5.1429,0.023342,True,Turkish > Spanish,0.5355
llama3.3-70b,code,es,hi,0.93,0.99,-0.06,0,6,6,4.1667,0.041227,True,Hindi > Spanish,0.3352
llama3.3-70b,code,ar,es,0.98,0.93,0.05,5,0,5,3.2,0.073638,False,Arabic > Spanish,0.2517
llama3.3-70b,code,en,zh,1.0,0.96,0.04,4,0,4,2.25,0.133614,False,English > Chinese,0.4027
llama3.3-70b,code,tr,zh,1.0,0.96,0.04,4,0,4,2.25,0.133614,False,Turkish > Chinese,0.4027
llama3.3-70b,code,es,zh,0.93,0.96,-0.03,0,3,3,1.3333,0.248213,False,Chinese > Spanish,0.1328
llama3.3-70b,code,hi,zh,0.99,0.96,0.03,3,0,3,1.3333,0.248213,False,Hindi > Chinese,0.2024
llama3.3-70b,code,ar,en,0.98,1.0,-0.02,0,2,2,0.5,0.4795,False,English > Arabic,0.2838
llama3.3-70b,code,ar,tr,0.98,1.0,-0.02,0,2,2,0.5,0.4795,False,Turkish > Arabic,0.2838
llama3.3-70b,code,ar,zh,0.98,0.96,0.02,3,1,4,0.25,0.617075,False,Arabic > Chinese,0.1189
llama3.3-70b,code,ar,hi,0.98,0.99,-0.01,0,1,1,0.0,1.0,False,Hindi > Arabic,0.0835
llama3.3-70b,code,en,hi,1.0,0.99,0.01,1,0,1,0.0,1.0,False,English > Hindi,0.2003
llama3.3-70b,code,en,tr,1.0,1.0,0.0,0,0,0,0.0,1.0,False,tie,0.0
llama3.3-70b,code,hi,tr,0.99,1.0,-0.01,0,1,1,0.0,1.0,False,Turkish > Hindi,0.2003
llama4-scout,code,ar,hi,1.0,0.98,0.02,2,0,2,0.5,0.4795,False,Arabic > Hindi,0.2838
llama4-scout,code,en,hi,1.0,0.98,0.02,2,0,2,0.5,0.4795,False,English > Hindi,0.2838
llama4-scout,code,es,hi,1.0,0.98,0.02,2,0,2,0.5,0.4795,False,Spanish > Hindi,0.2838
llama4-scout,code,hi,tr,0.98,1.0,-0.02,0,2,2,0.5,0.4795,False,Turkish > Hindi,0.2838
llama4-scout,code,hi,zh,0.98,1.0,-0.02,0,2,2,0.5,0.4795,False,Chinese > Hindi,0.2838
llama4-scout,code,ar,en,1.0,1.0,0.0,0,0,0,0.0,1.0,False,tie,0.0
llama4-scout,code,ar,es,1.0,1.0,0.0,0,0,0,0.0,1.0,False,tie,0.0
llama4-scout,code,ar,tr,1.0,1.0,0.0,0,0,0,0.0,1.0,False,tie,0.0
llama4-scout,code,ar,zh,1.0,1.0,0.0,0,0,0,0.0,1.0,False,tie,0.0
llama4-scout,code,en,es,1.0,1.0,0.0,0,0,0,0.0,1.0,False,tie,0.0
llama4-scout,code,en,tr,1.0,1.0,0.0,0,0,0,0.0,1.0,False,tie,0.0
llama4-scout,code,en,zh,1.0,1.0,0.0,0,0,0,0.0,1.0,False,tie,0.0
llama4-scout,code,es,tr,1.0,1.0,0.0,0,0,0,0.0,1.0,False,tie,0.0
llama4-scout,code,es,zh,1.0,1.0,0.0,0,0,0,0.0,1.0,False,tie,0.0
llama4-scout,code,tr,zh,1.0,1.0,0.0,0,0,0,0.0,1.0,False,tie,0.0
qwen3-32b,code,en,tr,0.28,0.64,-0.36,1,37,38,32.2368,0.0,True,Turkish > English,0.7394
qwen3-32b,code,hi,tr,0.29,0.64,-0.35,1,36,37,31.2432,0.0,True,Turkish > Hindi,0.7172
qwen3-32b,code,es,tr,0.4,0.64,-0.24,1,25,26,20.3462,6e-06,True,Turkish > Spanish,0.4852
qwen3-32b,code,ar,en,0.52,0.28,0.24,26,2,28,18.8929,1.4e-05,True,Arabic > English,0.4956
qwen3-32b,code,en,zh,0.28,0.5,-0.22,2,24,26,16.9615,3.8e-05,True,Chinese > English,0.4556
